agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 8309,"Department of Immigration and Multicultural Affairs, Area Office, Townsville [Queensland]",Local Office,Queensland,1996-03-11,1996-08-09,1996-03-11,1996-08-09
CA 8310,"Department of Immigration and Multicultural Affairs [I], Area Office, Cairns [Queensland]",Local Office,Queensland,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8311,"Department of Immigration and Multicultural Affairs, Area Office, Thursday Island [Queensland] [1]",Local Office,Queensland,1996-03-11,2001-11-26,1996-03-11,2001-11-26
CA 8872,"Department of Immigration and Multicultural and Indigenous Affairs, Central Office",Department of State,Australian Capital Territory,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8904,"Department of Immigration and Multicultural and Indigenous Affairs, State Office, New South Wales",Regional or State Office,New South Wales,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8923,"Department of Immigration and Multicultural and Indigenous Affairs, The Rocks Office, Sydney",Local Office,New South Wales,2001-11-26,2002-04-19,2001-11-26,2002-04-19
CA 8924,"Department of Immigration and Multicultural and Indigenous Affairs, Parramatta Office, New South Wales",Local Office,New South Wales,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8925,"Department of Immigration and Multicultural and Indigenous Affairs, Rockdale Office, New South Wales",Local Office,New South Wales,2001-11-26,2002-12-20,2001-11-26,2002-12-20
CA 9034,Department of Immigration and Multicultural Affairs [II],Department of State,Australian Capital Territory,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9085,"Department of Immigration and Multicultural Affairs [II], Brisbane Office, Queensland",Local Office,Queensland,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9087,"Department of Immigration and Multicultural Affairs [II], Cairns Office, Queensland",Local Office,Queensland,2006-01-27,2007-12-03,2006-02-27,
CA 9088,"Department of Immigration and Multicultural Affairs [II], State Office, Tasmania",Local Office,Tasmania,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9090,"Department of Immigration and Multicultural Affairs [II], Gold Coast Region Office, Queensland",Regional or State Office,Queensland,2006-01-27,2007-12-03,2006-02-27,
CA 9092,"Department of Immigration and Multicultural Affairs [II], Thursday Island Office, Queensland",Local Office,Queensland,2006-01-27,2007-12-03,2006-01-27,2007-12-03
CA 9093,"Department of Immigration and Multicultural Affairs[II], Adelaide Office, South Australia",Local Office,South Australia,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9096,"Department of Immigration and Multicultural Affairs [II], Sydney Office",Regional or State Office,New South Wales,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9097,"Department of Immigration and Multicultural Affairs [II], Parramatta Office, New South Wales",Regional or State Office,New South Wales,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9122,"Department of Immigration and Multicultural Affairs [II], Melbourne Office, Victoria",Regional or State Office,Victoria,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9123,"Department of Immigration and Multicultural Affairs [II], Dandenong Office, Victoria",Regional or State Office,Victoria,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9134,"Department of Immigration and Multicultural Affairs [II], Perth Office, Western Australia",Regional or State Office,Western Australia,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9250,"Department of Immigration and Citizenship, Queensland State Office",Regional or State Office,Queensland,2007-01-30,2013-09-18,2007-12-03,2013-09-18
CA 9251,"Department of Immigration and Citizenship, Cairns Office [Queensland]",Local Office,Queensland,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9252,"Department of Immigration and Citizenship, Thursday Island [Queensland]",Local Office,Queensland,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9322,"Department of Immigration and Multicultural Affairs [II], Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2006-01-27,2007-01-30,2006-01-27,2007-01-30
