agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 8910,"Department of Immigration and Multicultural and Indigenous Affairs, Tasmania State Office",Regional or State Office,Tasmania,2001-11-26,2006-01-26,2001-11-26,2006-01-26
CA 8913,"Department of Immigration and Multicultural and Indigenous Affairs, Victoria State Office",Regional or State Office,Victoria,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 8933,"Department of Immigration and Multicultural and Indigenous Affairs, Northern Territory Office",Regional or State Office,Northern Territory,2001-11-26,2007-01-30,2001-11-26,2007-01-30
CA 8937,"Migration Review Tribunal, New South Wales Registry",Regional or State Office,New South Wales,1999-06-01,,1999-06-01,
CA 8947,"Department of Immigration and Multicultural and Indigenous Affairs, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2001-11-26,2006-01-27,2001-11-26,2006-01-27
CA 9034,Department of Immigration and Multicultural Affairs [II],Department of State,Australian Capital Territory,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9085,"Department of Immigration and Multicultural Affairs [II], Brisbane Office, Queensland",Local Office,Queensland,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9087,"Department of Immigration and Multicultural Affairs [II], Cairns Office, Queensland",Local Office,Queensland,2006-01-27,2007-12-03,2006-02-27,
CA 9088,"Department of Immigration and Multicultural Affairs [II], State Office, Tasmania",Local Office,Tasmania,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9090,"Department of Immigration and Multicultural Affairs [II], Gold Coast Region Office, Queensland",Regional or State Office,Queensland,2006-01-27,2007-12-03,2006-02-27,
CA 9092,"Department of Immigration and Multicultural Affairs [II], Thursday Island Office, Queensland",Local Office,Queensland,2006-01-27,2007-12-03,2006-01-27,2007-12-03
CA 9093,"Department of Immigration and Multicultural Affairs[II], Adelaide Office, South Australia",Local Office,South Australia,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9096,"Department of Immigration and Multicultural Affairs [II], Sydney Office",Regional or State Office,New South Wales,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9097,"Department of Immigration and Multicultural Affairs [II], Parramatta Office, New South Wales",Regional or State Office,New South Wales,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9122,"Department of Immigration and Multicultural Affairs [II], Melbourne Office, Victoria",Regional or State Office,Victoria,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9123,"Department of Immigration and Multicultural Affairs [II], Dandenong Office, Victoria",Regional or State Office,Victoria,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9134,"Department of Immigration and Multicultural Affairs [II], Perth Office, Western Australia",Regional or State Office,Western Australia,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9152,"Department of Immigration and Citizenship, Central Office",Department of State,Australian Capital Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9205,"Department of Immigration and Citizenship, South Australia State Office",Regional or State Office,South Australia,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9209,"Department of Immigration and Citizenship, Victoria State Office",Regional or State Office,Victoria,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9210,"Department of Immigration and Citizenship, Dandenong Office [Victoria]",Regional or State Office,Victoria,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9250,"Department of Immigration and Citizenship, Queensland State Office",Regional or State Office,Queensland,2007-01-30,2013-09-18,2007-12-03,2013-09-18
CA 9251,"Department of Immigration and Citizenship, Cairns Office [Queensland]",Local Office,Queensland,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9252,"Department of Immigration and Citizenship, Thursday Island [Queensland]",Local Office,Queensland,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9257,"Department of Immigration and Citizenship, Southport Office [Queensland]",Regional or State Office,Queensland,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9258,"Department of Immigration and Citizenship, Western Australia State Office",Regional or State Office,Western Australia,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9300,"Department of Immigration and Citizenship, Northern Territory Office",Regional or State Office,Northern Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9313,"Department of Immigration and Citizenship, New South Wales State Office",Regional or State Office,New South Wales,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9322,"Department of Immigration and Multicultural Affairs [II], Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2006-01-27,2007-01-30,2006-01-27,2007-01-30
CA 9323,"Department of Immigration and Citizenship, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9365,"Department of Immigration and Citizenship, Tasmania State Office",Regional or State Office,Tasmania,2007-01-30,2013-09-18,2007-01-30,2013-09-18
CA 9405,Federal Magistrates Court of Australia,Head Office,"Australian Capital Territory, New South Wales",1999-12-23,,1999-12-23,
CA 9431,"Department of Immigration and Border Protection, Central Office",Department of State,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9467,"Department of Immigration and Border Protection, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9470,"Department of Immigration and Border Protection, Cairns Queensland Office",Regional or State Office,Queensland,2013-09-18,,2013-09-18,
CA 9524,The Federal Circuit Court of Australia,Head Office,Australian Capital Territory,1999-12-23,,1999-12-23,
